"attribute","display","category","setting","description"
"wordorder","Word Order","syntax","sov, svo, vso, vos, osv, ovs",
"adpositions","Adpositions","morphology","yes,no",
"nounClasses","Noun Classes","morphology","yes,no",
"verbTense","Verb Tense","morphology","yes,no",
"verbPerson","Verb Person","morphology","yes,no",
"copula","Copula","morphology","yes,no",
"nounCase","Noun Case","morphology","yes,no",
"verbAspect","Verb Aspect","morphology","yes,no",
"verbMood","Verb Mood","morphology","yes,no",
"fusionLevel","Fusion Level","morphology","l,m,h",
"flexivityLevel","Flexivity Level","morphology","l,m,h",
"exponenceLevel","Exponence Level","morphology","l,m,h",
