ARPA,Example,IPA,XSAMPA
AA,balm,ɑ,A
AE,bat,æ,{
AH,butt,ʌ,V
AO,caught,ɔ,O
AW,bout,aʊ,aU
AX,about,ə,@
AXR,butter,ɚ,@`
AY,bite,aɪ,aI
EH,bet,ɛ,E
ER,bird,ɝ,E`
EY,bait,eɪ,EI
IH,bit,ɪ,I
IX,roses,ɨ,1
IY,beat,I,I
OW,boat,oʊ,oU
OY,boy,ɔɪ,OI
UH,book,ʊ,U
UW,boot,u,u
UX,dude,ʉ,}
B,buy,b,b
CH,China,tʃ,tS
D,die,d,d
DH,thy,ð,D
DX,butter,ɾ,4
EL,bottle,l̩,l=
EM,rhythm,m̩,m=
EN,button,n̩,n=
F,fight,f,f
G,guy,ɡ,g
H,high,h,h
JH,jive,dʒ,dZ
K,kite,k,k
L,lie,l,l
M,my,m,m
N,night,n,n
NG,sing,ŋ,N
NX,winner,ɾ̃,4~
P,pie,p,p
Q,uhoh,ʔ,?
R,rye,ɹ,r\\
S,sigh,s,s
SH,shy,ʃ,S
T,tie,t,t
TH,thie,θ,T
V,vie,v,v
W,wise,w,w
WH,why,ʍ,W
Y,yacht,j,j
Z,zoo,z,z
ZH,pleasure,ʒ,Z
n/a,vd_bilabial_implosive,ɓ,b_<
n/a,vl_palatal_plosive,c,c
n/a,vd_retroflex_plosive,ɖ,d`
n/a,vd_alveolar_implosive,ɗ,d_<
n/a,hi_mid_front_ur_vowel,e,e
n/a,vd_velar_implosive,ɠ,g_<
n/a,vd_palatal_fricative,ʝ,j\\
n/a,retroflex_lat_approx,ɭ,l`
n/a,alvelar_lateral_flap,ɺ,l\\
n/a,retroflex_nasal,ɳ,n`
n/a,vl_bilab_fric,ɸ,p\\
n/a,vl_uv_plos,q,q
n/a,alv_trill,r,r
n/a,retro_flap,ɽ,r`
n/a,retro_approx,ɻ,r\\`
n/a,vl_retro_fric,ʂ,s`
n/a,vl_pal_fric,ɕ,s\\
n/a,vl_retr_plos,ʈ,t`
n/a,labdent_approx,ʋ,v\\
n/a,vl_vel_fric,x,x
n/a,hi_fr_ur_vow,y,y
n/a,vd_retro_fric,ʐ,z`
n/a,vd_alvpal_fric,ʑ,z\\
n/a,bilab_trill,ʙ,B\\
n/a,vd_bilab_fric,β,B
n/a,vd_pal_fric,ç,C
n/a,vd_vel_fric,ɣ,G
n/a,vd_uv_plos,ɢ,G\\
n/a,vd_uv_imp,ʛ,G\\_<
n/a,pal_nas,ɲ,J\\
n/a,vd_alv_lat_fric,ɬ,K
n/a,pal_lat_approx,ʎ,L
n/a,vd_uv_fric,ʁ,R
n/a,uv_trill,ʀ,R\\
n/a,vl_uv_fric,χ,X
n/a,vl_phar_fric,X\\,ħ
n/a,hi_mid_front_rd_vow,ø,2
n/a,vd_phar_fric,ʕ,?\\
